page,language,profile,performance,accessibility,best_practices,seo,runs,performance_min,performance_max,result,note,source_sha256
/it/news/aumento-prezzi-full-pass-masterclass-15-giugno-2026,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/bachata-italia-2026-milano-meta-ballo,it,phone,97,100,100,100,1,97,97,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/bachata-italia-2026-milano-meta-ballo,it,tablet,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/bachata-italia-2026-milano-meta-ballo,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/calendario-festival-bachata-europa-2026-2027,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/calendario-festival-bachata-europa-2026-2027,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/calendario-festival-bachata-europa-2026-2027,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/congresso-bachata-da-soli-guida-ballerini,it,phone,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/congresso-bachata-da-soli-guida-ballerini,it,tablet,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/congresso-bachata-da-soli-guida-ballerini,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/corsi-settimanali-vs-congressi-bachata,it,phone,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/corsi-settimanali-vs-congressi-bachata,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/corsi-settimanali-vs-congressi-bachata,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/cosa-aspettarsi-da-un-congresso-di-bachata-2026,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/cosa-aspettarsi-da-un-congresso-di-bachata-2026,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/cosa-aspettarsi-da-un-congresso-di-bachata-2026,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/cristian-y-gabriella-maestri-bachata-mondiali-2026,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/cristian-y-gabriella-maestri-bachata-mondiali-2026,it,tablet,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/cristian-y-gabriella-maestri-bachata-mondiali-2026,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/david-y-ines-maestri-bachata-sensual-2026,it,phone,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/david-y-ines-maestri-bachata-sensual-2026,it,tablet,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/david-y-ines-maestri-bachata-sensual-2026,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/etichetta-congresso-bachata-social-workshop-party,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/etichetta-congresso-bachata-social-workshop-party,it,tablet,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/etichetta-congresso-bachata-social-workshop-party,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/gero-y-migle-maestri-bachata-sensual-2026,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/gero-y-migle-maestri-bachata-sensual-2026,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/gero-y-migle-maestri-bachata-sensual-2026,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/guida-viaggio-bachata-milano-2026,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/guida-viaggio-bachata-milano-2026,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/guida-viaggio-bachata-milano-2026,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/i-5-migliori-congressi-bachata-europa-2026,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/i-5-migliori-congressi-bachata-europa-2026,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/i-5-migliori-congressi-bachata-europa-2026,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/irene-y-tomas-maestri-bachata-sensual,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/irene-y-tomas-maestri-bachata-sensual,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/irene-y-tomas-maestri-bachata-sensual,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/klau-y-ros-maestri-endless-bachata-2026,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/klau-y-ros-maestri-endless-bachata-2026,it,tablet,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/klau-y-ros-maestri-endless-bachata-2026,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/livelli-workshop-bachata-congresso,it,phone,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/livelli-workshop-bachata-congresso,it,tablet,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/livelli-workshop-bachata-congresso,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/migliore-festa-bachata-italia-2026,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/migliore-festa-bachata-italia-2026,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/migliore-festa-bachata-italia-2026,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/nacho-y-silvia-bachata-esencia-nuova-generazione,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/nacho-y-silvia-bachata-esencia-nuova-generazione,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/nacho-y-silvia-bachata-esencia-nuova-generazione,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/party,it,phone,99,95,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/party,it,tablet,98,95,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/party,it,desktop,100,95,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/programma,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/programma,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/programma,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/terms,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/terms,it,tablet,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/terms,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/tickets,it,phone,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/tickets,it,tablet,96,100,100,100,3,95,96,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/tickets,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/transfer,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/transfer,it,tablet,96,100,100,100,3,96,97,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/transfer,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/jacknjill,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/jacknjill,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/jacknjill,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/masterclass,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/masterclass,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/masterclass,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news,en,phone,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news,en,tablet,97,100,100,100,3,96,97,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/agustinyalba-bachata-sensual-rising-stars,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/agustinyalba-bachata-sensual-rising-stars,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/agustinyalba-bachata-sensual-rising-stars,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/aitor-gomez-bachata-sensual-dominican-roots,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/aitor-gomez-bachata-sensual-dominican-roots,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/aitor-gomez-bachata-sensual-dominican-roots,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-congress-alone-solo-dancer-guide,en,phone,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-congress-alone-solo-dancer-guide,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-congress-alone-solo-dancer-guide,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-congress-etiquette-social-dancing-workshops-parties,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-congress-etiquette-social-dancing-workshops-parties,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-congress-etiquette-social-dancing-workshops-parties,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-festivals-europe-2026-2027-calendar,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-festivals-europe-2026-2027-calendar,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-festivals-europe-2026-2027-calendar,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-italy-2026-milan-dance-destination,en,phone,97,100,100,100,1,97,97,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-italy-2026-milan-dance-destination,en,tablet,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-italy-2026-milan-dance-destination,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-workshop-levels-guide-congress,en,phone,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-workshop-levels-guide-congress,en,tablet,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/bachata-workshop-levels-guide-congress,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/best-bachata-party-italy-2026,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/best-bachata-party-italy-2026,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/best-bachata-party-italy-2026,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/cristian-y-gabriella-bachata-world-masters-2026,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/cristian-y-gabriella-bachata-world-masters-2026,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/cristian-y-gabriella-bachata-world-masters-2026,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/david-y-ines-bachata-sensual-masters-2026,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/david-y-ines-bachata-sensual-masters-2026,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/david-y-ines-bachata-sensual-masters-2026,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/full-pass-masterclass-price-increase-june-15-2026,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/full-pass-masterclass-price-increase-june-15-2026,en,tablet,99,100,100,100,3,96,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/full-pass-masterclass-price-increase-june-15-2026,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
